            Daily  Hourly data -->
   Date     Total    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
17-JUN-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
16-JUN-2006     5    0   0   0   0   0   0   0   0   0   0   0   1   4   0   0   0   0   0   0   0   0   0   0   0
15-JUN-2006     1    0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
14-JUN-2006    11    0   0   0   0   0   0   0   5   3   0   0   0   0   0   0   3   0   0   0   0   0   0   0   0
13-JUN-2006     1    0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
12-JUN-2006     3    0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   1   0   0   0   0   0   0   0   0
11-JUN-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
10-JUN-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
09-JUN-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
08-JUN-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
07-JUN-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
06-JUN-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
05-JUN-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
04-JUN-2006    42    1   1   0   0   0   0   0   0   0  16   1  22   0   0   1   0   0   0   0   0   0   0   0   0
03-JUN-2006     9    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   5   4   0
02-JUN-2006     4    2   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
01-JUN-2006    36    0   0   0   0   0   0   0   0   1   9   8   3   2   0   0   9   1   0   0   1   0   0   2   0
31-MAY-2006     3    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   1   1   0   0   0   0   0
30-MAY-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
29-MAY-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
28-MAY-2006     9    1   6   0   0   0   0   0   0   0   0   0   0   0   0   2   0   0   0   0   0   0   0   0   0
27-MAY-2006    29    0   0   0   0   0   1   2   1   4   2   7   1   0   1   1   7   0   0   0   0   0   0   2   0
26-MAY-2006    23    0   0   0   0   0   0   0   1   0   0   0   0   0  16   1   0   0   0   0   5   0   0   0   0
25-MAY-2006     3    0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   2   0   0   0   0   0   0   0   0
24-MAY-2006    15    3   1   2   1   1   0   0   0   0   0   0   2   2   0   3   0   0   0   0   0   0   0   0   0
23-MAY-2006    66    0  13   0   0   4   1  30   1   3   0   2   0   0   1   1   0   0   3   2   3   1   0   1   0
22-MAY-2006    28    0   0   0   0   0  12   1   3   8   1   0   3   0   0   0   0   0   0   0   0   0   0   0   0
21-MAY-2006     8    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   7   1   0   0
20-MAY-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
19-MAY-2006    11    0   0   0   0   0   0   0   0   0   0   0   0   0   6   2   1   2   0   0   0   0   0   0   0
18-MAY-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
17-MAY-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
16-MAY-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
